g2 dynamics at tau=0, Fock-1 initial state, w=w_dip
t [ps]       g2 [unitless]
2.691487     0.000000    
2.696267     0.000000    
2.701048     0.000000    
2.705829     0.000000    
2.710609     0.000000    
2.715390     0.000000    
2.720170     0.000000    
2.724951     0.000000    
2.729732     0.000000    
2.734512     0.000000    
2.739293     0.000000    
2.744074     0.000000    
2.748854     0.000000    
2.753635     0.000000    
2.758415     0.000000    
2.763196     0.000000    
2.767977     0.000000    
2.772757     0.000000    
2.777538     0.000000    
2.782318     0.000000    
2.787099     0.000000    
2.791880     0.000000    
2.796660     0.000000    
2.801441     0.000000    
2.806222     0.000000    
2.811002     0.000000    
2.815783     0.000000    
2.820563     0.000000    
2.825344     0.000000    
2.830125     0.000000    
2.834905     0.000000    
2.839686     0.000000    
2.844466     0.000000    
2.849247     0.000000    
2.854028     0.000000    
2.858808     0.000000    
2.863589     0.000000    
2.868370     0.000000    
2.873150     0.000000    
2.877931     0.000000    
2.882711     0.000000    
2.887492     0.000000    
2.892273     0.000000    
2.897053     0.000000    
2.901834     0.000000    
2.906614     0.000000    
2.911395     0.000000    
2.916176     0.000000    
2.920956     0.000000    
2.925737     0.000000    
2.930518     0.000000    
2.935298     0.000000    
2.940079     0.000000    
2.944859     0.000000    
2.949640     0.000000    
2.954421     0.000000    
2.959201     0.000000    
2.963982     0.000000    
2.968762     0.000000    
2.973543     0.000000    
2.978324     0.000000    
2.983104     0.000000    
2.987885     0.000000    
2.992666     0.000000    
2.997446     0.000000    
3.002227     0.000000    
3.007007     0.000000    
3.011788     0.000000    
3.016569     0.000000    
3.021349     0.000000    
3.026130     0.000000    
3.030910     0.000000    
3.035691     0.000000    
3.040472     0.000000    
3.045252     0.000000    
3.050033     0.000000    
3.054814     0.000000    
3.059594     0.000000    
3.064375     0.000000    
3.069155     0.000000    
3.073936     0.000000    
3.078717     0.000000    
3.083497     0.000000    
3.088278     0.000000    
3.093058     0.000000    
3.097839     0.000000    
3.102620     0.000000    
3.107400     0.000000    
3.112181     0.000000    
3.116962     0.000000    
3.121742     0.000000    
3.126523     0.000000    
3.131303     0.000000    
3.136084     0.000000    
3.140865     0.000000    
3.145645     0.000000    
3.150426     0.000000    
3.155206     0.000000    
3.159987     0.000000    
3.164768     0.000000    
3.169548     0.000000    
3.174329     0.000000    
3.179110     0.000000    
3.183890     0.000000    
3.188671     0.000000    
3.193451     0.000000    
3.198232     0.000000    
3.203013     0.000000    
3.207793     0.000000    
3.212574     0.000000    
3.217354     0.000000    
3.222135     0.000000    
3.226916     0.000000    
3.231696     0.000000    
3.236477     0.000000    
3.241258     0.000000    
3.246038     0.000000    
3.250819     0.000000    
3.255599     0.000000    
3.260380     0.000000    
3.265161     0.000000    
3.269941     0.000000    
3.274722     0.000000    
3.279502     0.000000    
3.284283     0.000000    
3.289064     0.000000    
3.293844     0.000000    
3.298625     0.000000    
3.303406     0.000000    
3.308186     0.000000    
3.312967     0.000000    
3.317747     0.000000    
3.322528     0.000000    
3.327309     0.000000    
3.332089     0.000000    
3.336870     0.000000    
3.341650     0.000000    
3.346431     0.000000    
3.351212     0.000000    
3.355992     0.000000    
3.360773     0.000000    
3.365554     0.000000    
3.370334     0.000000    
3.375115     0.000000    
3.379895     0.000000    
3.384676     0.000000    
3.389457     0.000000    
3.394237     0.000000    
3.399018     0.000000    
3.403798     0.000000    
3.408579     0.000000    
3.413360     0.000000    
3.418140     0.000000    
3.422921     0.000000    
3.427702     0.000000    
3.432482     0.000000    
3.437263     0.000000    
3.442043     0.000000    
3.446824     0.000000    
3.451605     0.000000    
3.456385     0.000000    
3.461166     0.000000    
3.465946     0.000000    
3.470727     0.000000    
3.475508     0.000000    
3.480288     0.000000    
3.485069     0.000000    
3.489850     0.000000    
3.494630     0.000000    
3.499411     0.000000    
3.504191     0.000000    
3.508972     0.000000    
3.513753     0.000000    
3.518533     0.000000    
3.523314     0.000000    
3.528095     0.000000    
3.532875     0.000000    
3.537656     0.000000    
3.542436     0.000000    
3.547217     0.000000    
3.551998     0.000000    
3.556778     0.000000    
3.561559     0.000000    
3.566339     0.000000    
3.571120     0.000000    
3.575901     0.000000    
3.580681     0.000000    
3.585462     0.000000    
3.590243     0.000000    
3.595023     0.000000    
3.599804     0.000000    
3.604584     0.000000    
3.609365     0.000000    
3.614146     0.000000    
3.618926     0.000000    
3.623707     0.000000    
3.628487     0.000000    
3.633268     0.000000    
3.638049     0.000000    
3.642829     0.000000    
