g2 dynamics at tau=0, vacuum initial state, w=w_dip
t [ps]       g2 [1]      
3.009108     1.000725    
3.013640     1.000721    
3.018172     1.000714    
3.022703     1.000718    
3.027235     1.000719    
3.031767     1.000716    
3.036299     1.000714    
3.040831     1.000713    
3.045362     1.000710    
3.049894     1.000707    
3.054426     1.000705    
3.058958     1.000705    
3.063489     1.000705    
3.068021     1.000699    
3.072553     1.000704    
3.077085     1.000706    
3.081617     1.001261    
3.086148     1.001171    
3.090680     1.000709    
3.095212     0.999818    
3.099744     1.000700    
3.104276     1.000689    
3.108807     1.000696    
3.113339     1.000694    
3.117871     1.001350    
3.122403     1.000687    
3.126935     1.000690    
3.131466     1.000691    
3.135998     1.000684    
3.140530     1.000678    
3.145062     1.000690    
3.149593     1.000678    
3.154125     1.000073    
3.158657     1.000685    
3.163189     1.000684    
3.167721     1.000676    
3.172252     1.000673    
3.176784     1.000144    
3.181316     1.000666    
3.185848     1.000668    
3.190380     1.000675    
3.194911     1.000674    
3.199443     1.000671    
3.203975     1.000669    
3.208507     1.000670    
3.213039     1.001157    
3.217570     1.000659    
3.222102     1.000660    
3.226634     1.000661    
3.231166     1.000660    
3.235697     1.001271    
3.240229     1.001029    
3.244761     1.000659    
3.249293     1.000655    
3.253825     1.000653    
3.258356     1.000175    
3.262888     1.000110    
3.267420     1.000647    
3.271952     1.001188    
3.276484     1.000654    
3.281015     1.000651    
3.285547     1.001137    
3.290079     1.000646    
3.294611     1.000133    
3.299143     1.000644    
3.303674     1.000155    
3.308206     1.000636    
3.312738     1.000646    
3.317270     1.000644    
3.321801     1.000636    
3.326333     1.000638    
3.330865     1.000636    
3.335397     1.000630    
3.339929     1.000980    
3.344460     1.000635    
3.348992     1.000628    
3.353524     1.000632    
3.358056     1.000630    
3.362588     1.000628    
3.367119     1.000626    
3.371651     1.000866    
3.376183     1.000733    
3.380715     1.000624    
3.385246     1.000625    
3.389778     1.000626    
3.394310     1.000639    
3.398842     1.000653    
3.403374     1.000649    
3.407905     1.000651    
3.412437     1.000648    
3.416969     1.000649    
3.421501     1.000648    
3.426033     1.000649    
3.430564     1.000643    
3.435096     1.000642    
3.439628     1.000642    
3.444160     1.000641    
3.448692     1.000642    
3.453223     1.000640    
3.457755     1.000639    
